#EventID,Time,month,Latitude,Longitude,DepthInKm,Author,MagType,mag_range,Magnitude,EventLocationName,EventType
29118551,2021-12-08T03:52:47.740000,2021-12,39.6618,16.8392,21.6,BULLETIN-INGV,ML,'2-3,2,Costa Ionica Cosentina (Cosenza),earthquake
29118891,2021-12-08T06:05:10.140000,2021-12,37.3943,14.5377,34,BULLETIN-INGV,ML,'2-3,2.1,8 km E Aidone (EN),earthquake
29120601,2021-12-08T09:53:50.190000,2021-12,43.036,13.1133,9.5,BULLETIN-INGV,ML,'2-3,2.2,2 km E Fiordimonte (MC),earthquake
29123221,2021-12-08T13:27:18.000000,2021-12,41.9658,13.6805,9.4,BULLETIN-INGV,ML,'2-3,2,2 km NW Gioia dei Marsi (AQ),earthquake
29123941,2021-12-08T14:05:40.080000,2021-12,44.4223,10.669,31.6,BULLETIN-INGV,ML,'2-3,2.5,2 km SW Prignano sulla Secchia (MO),earthquake
29127101,2021-12-08T19:21:06.190000,2021-12,38.6908,14.2178,26.2,BULLETIN-INGV,ML,'2-3,2.1,Isole Eolie (Messina),earthquake
29131111,2021-12-08T22:48:48.270000,2021-12,44.4248,10.7362,29.2,BULLETIN-INGV,ML,'2-3,2.3,4 km E Prignano sulla Secchia (MO),earthquake
29133871,2021-12-09T03:33:21.420000,2021-12,37.2743,16.9178,38.4,BULLETIN-INGV,ML,'2-3,2.8,Mar Ionio Meridionale (MARE),earthquake
29139771,2021-12-09T23:38:58.040000,2021-12,44.4165,10.7033,29.2,BULLETIN-INGV,ML,'2-3,2,2 km SE Prignano sulla Secchia (MO),earthquake
29140171,2021-12-10T04:08:31.230000,2021-12,39.4612,16.061,27.1,BULLETIN-INGV,ML,'2-3,2,5 km W Rota Greca (CS),earthquake
29143141,2021-12-10T12:07:38.980000,2021-12,38.7497,14.2228,21.1,BULLETIN-INGV,ML,'2-3,2.3,Tirreno Meridionale (MARE),earthquake
29147141,2021-12-10T23:08:11.220000,2021-12,47.4283,7.5912,10,BULLETIN-INGV,ML,'2-3,2.8,"V3 Basilea (SVIZZERA, FRANCIA, GERMANIA)",earthquake
29147781,2021-12-11T00:53:35.240000,2021-12,39.1892,15.7728,59.1,BULLETIN-INGV,ML,'2-3,2.2,Costa Calabra nord-occidentale (Cosenza),earthquake
29148541,2021-12-11T05:59:01.500000,2021-12,38.3673,14.6097,7.9,BULLETIN-INGV,ML,'2-3,2.3,Costa Siciliana nord-orientale (Messina),earthquake
29159851,2021-12-12T19:54:26.620000,2021-12,36.8625,14.7358,21.6,BULLETIN-INGV,ML,'2-3,2.3,2 km W Modica (RG),earthquake
29161211,2021-12-13T02:29:09.390000,2021-12,39.3308,15.8258,119.5,BULLETIN-INGV,ML,'2-3,2.3,Costa Calabra nord-occidentale (Cosenza),earthquake
29161451,2021-12-13T04:22:11.810000,2021-12,38.7212,14.1813,31.1,BULLETIN-INGV,ML,'2-3,2.4,Tirreno Meridionale (MARE),earthquake
29167281,2021-12-13T18:11:43.350000,2021-12,38.4547,15.0933,9.1,BULLETIN-INGV,ML,'2-3,2.2,Isole Eolie (Messina),earthquake
29170741,2021-12-14T01:45:50.150000,2021-12,42.5328,13.3543,12.5,BULLETIN-INGV,ML,'2-3,2.2,3 km SW Campotosto (AQ),earthquake
29172451,2021-12-14T05:34:06.140000,2021-12,43.0278,13.3057,22.6,BULLETIN-INGV,ML,'3-4,3.3,1 km SE Sarnano (MC),earthquake
29172521,2021-12-14T05:34:50.200000,2021-12,43.032,13.2992,25.7,BULLETIN-INGV,ML,'2-3,2.2,1 km SW Sarnano (MC),earthquake
29172661,2021-12-14T05:39:11.010000,2021-12,43.029,13.3113,25.1,BULLETIN-INGV,ML,'2-3,2,1 km SE Sarnano (MC),earthquake
29177461,2021-12-14T09:58:28.070000,2021-12,45.8057,11.2637,10.6,BULLETIN-INGV,ML,'2-3,2.3,2 km N Posina (VI),earthquake
29179201,2021-12-14T11:52:48.210000,2021-12,42.6012,15.9922,10.6,BULLETIN-INGV,ML,'2-3,2.7,Adriatico Centrale (MARE),earthquake
29182111,2021-12-14T14:38:47.540000,2021-12,44.4325,10.7383,26,BULLETIN-INGV,ML,'2-3,2,4 km E Prignano sulla Secchia (MO),earthquake
29185731,2021-12-14T19:39:56.410000,2021-12,42.7132,13.1827,10.1,BULLETIN-INGV,ML,'2-3,2.2,6 km W Accumoli (RI),earthquake
29187721,2021-12-15T00:14:16.470000,2021-12,38.4735,16.2493,10.3,BULLETIN-INGV,ML,'2-3,2.5,5 km W Fabrizia (VV),earthquake
29188361,2021-12-15T03:41:01.140000,2021-12,39.2868,16.216,55.5,BULLETIN-INGV,ML,'2-3,2,3 km SE Castrolibero (CS),earthquake
29193361,2021-12-15T14:59:15.000000,2021-12,45.5972,14.4417,10.3,BULLETIN-INGV,ML,'2-3,2.8,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29193781,2021-12-15T15:24:07.870000,2021-12,45.6188,14.4402,10,BULLETIN-INGV,ML,'2-3,2.1,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29195781,2021-12-16T00:07:22.230000,2021-12,43.0307,13.3008,23.3,BULLETIN-INGV,ML,'2-3,2.2,1 km S Sarnano (MC),earthquake
29196391,2021-12-16T03:48:03.610000,2021-12,39.74,16.6625,26.7,BULLETIN-INGV,ML,'2-3,2.6,Costa Ionica Cosentina (Cosenza),earthquake
29197461,2021-12-16T07:43:55.260000,2021-12,42.9552,6.4588,0.1,BULLETIN-INGV,ML,'2-3,2.3,Costa Francese (FRANCIA),controlled explosion
29201241,2021-12-16T16:23:32.610000,2021-12,37.3008,15.8365,30.2,BULLETIN-INGV,ML,'2-3,2.2,Mar Ionio Meridionale (MARE),earthquake
29202591,2021-12-16T18:51:04.140000,2021-12,42.8782,13.0903,10.3,BULLETIN-INGV,ML,'2-3,2.1,4 km E Preci (PG),earthquake
29203791,2021-12-16T21:11:36.480000,2021-12,46.0053,14.6327,8.6,BULLETIN-INGV,ML,'2-3,2.2,Slovenia (SLOVENIA),earthquake
29204301,2021-12-16T23:03:34.100000,2021-12,41.9052,14.0943,15.2,BULLETIN-INGV,ML,'2-3,2.2,3 km NE Pescocostanzo (AQ),earthquake
29205101,2021-12-17T02:10:42.710000,2021-12,45.8413,10.9968,11.1,BULLETIN-INGV,ML,'2-3,2,2 km SE Mori (TN),earthquake
29205181,2021-12-17T02:55:57.390000,2021-12,44.4412,10.7253,27.5,BULLETIN-INGV,ML,'2-3,2.1,3 km E Prignano sulla Secchia (MO),earthquake
29205291,2021-12-17T03:29:30.890000,2021-12,37.5737,15.0613,7.5,BULLETIN-INGV,ML,'2-3,2.2,1 km E Mascalucia (CT),earthquake
29212641,2021-12-17T20:00:43.920000,2021-12,42.4348,13.0117,6.6,BULLETIN-INGV,ML,'2-3,2.6,4 km W Micigliano (RI),earthquake
29224541,2021-12-18T09:28:30.720000,2021-12,44.2623,12.372,15.6,BULLETIN-INGV,ML,'2-3,2.4,Costa Ravennate (Ravenna),earthquake
29226401,2021-12-18T10:34:47.300000,2021-12,45.6448,9.5897,31.2,BULLETIN-INGV,Mw,'3-4,3.9,1 km W Dalmine (BG),earthquake
29240151,2021-12-18T21:24:46.210000,2021-12,37.7677,14.6312,29.1,BULLETIN-INGV,ML,'3-4,3.5,3 km SE Troina (EN),earthquake
29240451,2021-12-18T21:40:35.150000,2021-12,37.5835,14.9673,3,BULLETIN-INGV,ML,'2-3,2.5,1 km SW Belpasso (CT),earthquake
29241731,2021-12-18T23:09:53.140000,2021-12,39.1223,16.5303,16.3,BULLETIN-INGV,ML,'3-4,3.1,9 km NE Panettieri (CS),earthquake
29245531,2021-12-19T07:44:23.740000,2021-12,45.8628,9.7452,45.9,BULLETIN-INGV,ML,'2-3,2,1 km N Cornalba (BG),earthquake
29249451,2021-12-19T18:07:53.890000,2021-12,43.7393,13.4428,7.4,BULLETIN-INGV,ML,'2-3,2.6,Costa Marchigiana Anconetana (Ancona),earthquake
29250631,2021-12-19T22:53:09.450000,2021-12,41.4887,14.6065,15.2,BULLETIN-INGV,ML,'2-3,2.4,2 km E Vinchiaturo (CB),earthquake
29250851,2021-12-20T01:17:52.370000,2021-12,46.8485,8.8437,10,BULLETIN-INGV,ML,'2-3,2.3,Svizzera (SVIZZERA),earthquake
29251271,2021-12-20T03:28:12.500000,2021-12,41.497,14.6148,18.3,BULLETIN-INGV,ML,'2-3,2.5,2 km E Vinchiaturo (CB),earthquake
29253791,2021-12-20T10:10:08.570000,2021-12,41.2918,14.3852,8.6,BULLETIN-INGV,ML,'2-3,2.1,5 km W Gioia Sannitica (CE),earthquake
29254551,2021-12-20T11:31:27.830000,2021-12,41.2967,14.3877,8.7,BULLETIN-INGV,ML,'2-3,2.3,5 km S San Potito Sannitico (CE),earthquake
29258801,2021-12-20T20:21:48.230000,2021-12,41.2948,14.4057,8.5,BULLETIN-INGV,ML,'2-3,2.1,3 km W Gioia Sannitica (CE),earthquake
29259611,2021-12-20T23:33:19.820000,2021-12,38.5668,14.6312,11.1,BULLETIN-INGV,ML,'2-3,2.2,Isole Eolie (Messina),earthquake
29259671,2021-12-20T23:34:15.310000,2021-12,38.5272,14.6385,9,BULLETIN-INGV,ML,'2-3,2,Isole Eolie (Messina),earthquake
29259741,2021-12-20T23:35:59.360000,2021-12,45.8972,10.9027,10.9,BULLETIN-INGV,ML,'2-3,2,3 km SE Arco (TN),earthquake
29259881,2021-12-20T23:47:28.820000,2021-12,42.606,15.9527,7.5,BULLETIN-INGV,ML,'2-3,2.6,Adriatico Centrale (MARE),earthquake
29260311,2021-12-21T01:52:35.740000,2021-12,42.0408,15.8757,20.9,BULLETIN-INGV,ML,'2-3,2.2,Costa Garganica (Foggia),earthquake
29263051,2021-12-21T11:15:16.380000,2021-12,43.1907,13.3128,24.8,BULLETIN-INGV,ML,'2-3,2,3 km SE Tolentino (MC),earthquake
29263391,2021-12-21T12:12:15.620000,2021-12,37.1002,14.5103,22.9,BULLETIN-INGV,ML,'2-3,2,5 km W Mazzarrone (CT),earthquake
29264321,2021-12-21T13:59:15.280000,2021-12,38.5067,12.5788,30.5,BULLETIN-INGV,ML,'2-3,2.3,Tirreno Meridionale (MARE),earthquake
29264541,2021-12-21T14:44:12.200000,2021-12,45.715,15.2508,10,BULLETIN-INGV,ML,'3-4,3.7,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29264651,2021-12-21T14:53:59.800000,2021-12,39.1168,15.3488,271.4,BULLETIN-INGV,ML,'2-3,2.7,Tirreno Meridionale (MARE),earthquake
29267031,2021-12-21T23:35:11.250000,2021-12,38.7047,15.1592,235.3,BULLETIN-INGV,ML,'2-3,2.3,Isole Eolie (Messina),earthquake
29267971,2021-12-22T04:41:36.290000,2021-12,38.4923,15.4843,131.7,BULLETIN-INGV,ML,'2-3,2,Tirreno Meridionale (MARE),earthquake
29268121,2021-12-22T05:17:17.630000,2021-12,45.332,9.468,25.4,BULLETIN-INGV,ML,'2-3,2.2,1 km SE Montanaso Lombardo (LO),earthquake
29272651,2021-12-22T17:40:49.690000,2021-12,42.7893,13.1042,9.1,BULLETIN-INGV,ML,'2-3,2,1 km E Norcia (PG),earthquake
29273181,2021-12-22T20:13:38.550000,2021-12,42.6368,12.923,10.1,BULLETIN-INGV,ML,'2-3,2.4,3 km SW Monteleone di Spoleto (PG),earthquake
29274591,2021-12-23T03:20:03.940000,2021-12,45.2317,14.7022,8.6,BULLETIN-INGV,ML,'2-3,2.4,Costa Croata Settentrionale (CROAZIA),earthquake
29274841,2021-12-23T04:48:45.700000,2021-12,40.055,15.6475,9.8,BULLETIN-INGV,ML,'2-3,2.4,3 km SE Sapri (SA),earthquake
29274981,2021-12-23T05:09:56.450000,2021-12,40.052,15.6527,10,BULLETIN-INGV,ML,'2-3,2.2,3 km SE Sapri (SA),earthquake
29276731,2021-12-23T09:15:54.180000,2021-12,43.3242,12.6112,7.5,BULLETIN-INGV,ML,'2-3,2.4,4 km SE Gubbio (PG),earthquake
29282001,2021-12-23T18:15:17.000000,2021-12,42.7948,13.0915,9.9,BULLETIN-INGV,ML,'2-3,2.3,Norcia (PG),earthquake
29283041,2021-12-23T20:04:56.320000,2021-12,43.2563,12.609,8.2,BULLETIN-INGV,ML,'2-3,2.2,11 km N Valfabbrica (PG),earthquake
